"Wordline Credit Card payment method is not enabled","Wordline Credit Card payment method is not enabled"
"Please mind that we do not store some of the subscription data (i.e., Trial Start Date, Trial End Date, etc). It’s being dynamically retrieved from the Worldline gateway where you made your initial payment. If you notice some sort of data discrepancy, simply try to refresh this page.","Bitte beachten Sie, dass wir einige der Abonnementdaten nicht speichern (z. B. Startdatum der Testversion, Enddatum der Testversion usw.). Es wird dynamisch vom Worldline-Gateway abgerufen, an dem Sie Ihre erste Zahlung getätigt haben. Wenn Sie eine Datenabweichung feststellen, versuchen Sie einfach, diese Seite zu aktualisieren."
"Number of Attempts to Withdraw Failed Payments","Anzahl der Versuche, fehlgeschlagene Zahlungen zurückzuziehen"
"Frequency of Attempts","Häufigkeit der Versuche"
"This setting will define the frequency with which the money is attempted to be withdrawn from the account in case of a failed payment","Dieser Parameter definiert die Häufigkeit, mit der im Falle einer fehlgeschlagenen Zahlung Zahlungsversuche unternommen werden"
"Once every 30 minutes","Einmal alle 30 Minuten"
"Once every 2 hours","Einmal alle 2 Stunden"
"Once every 8 hours","Einmal alle 8 Stunden"
"Once every day","Jeden Tag einmal"
"Subscription. Payment Failed","Abonnement. Zahlung fehlgeschlagen"
"Dear %customer_name,","Sehr geehrter %customer_name,"
"There has been a problem with the payment of your subscription %subscription_id. Don’t worry, we will try it again later!","Es gab ein Problem mit der Zahlung Ihres Abonnements %subscription_id. Keine Sorge, wir werden es später noch einmal versuchen!"
"Maybe your card has expired, or you received a new card from your bank. Please make sure it is working correctly to be sure your subscription is not stopped!","Vielleicht ist Ihre Karte abgelaufen, oder Sie haben eine neue Karte von Ihrer Bank erhalten. Bitte vergewissern Sie sich, dass sie korrekt funktioniert, damit Ihr Abonnement nicht gestoppt wird!"
"Don’t hesitate to contact us should you have any questions!","Zögern Sie nicht, uns zu kontaktieren, wenn Sie eine Frage haben!"
"Kindest Regards","Mit freundlichen Grüßen"
"Team","Team des"
"Subscription","Abonnement"
